date,game_id,away_team,home_team,away_score,home_score,result,spread_result,moneyline_away_decimal,moneyline_home_decimal,away_spread,home_spread,spread_away_decimal,spread_home_decimal
2022-04-07,264292,MIL,CHC,4,5,home_win,home_cover,1.5556,2.6,-1.5,1.5,1.8333,2
2022-04-07,264294,PIT,STL,0,9,home_win,home_cover,2.35,1.6452,1.5,-1.5,1.6897,2.25
2022-04-07,264295,NYM,WAS,5,1,away_win,away_cover,1.5882,2.5,-1.5,1.5,2.05,1.8
2022-04-07,264296,CIN,ATL,6,3,away_win,away_cover,2.65,1.5405,1.5,-1.5,1.8333,2
2022-04-07,264297,HOU,LAA,3,1,away_win,away_cover,2.05,1.8,1.5,-1.5,1.5714,2.55
2022-04-07,264298,SD,ARI,2,4,home_win,home_cover,1.7407,2.15,-1.5,1.5,2.15,1.7407
2022-04-07,264308,CLE,KC,1,3,home_win,home_cover,1.8,2.05,-1.5,1.5,2.35,1.6452
2022-04-08,264291,BOS,NYY,5,6,home_win,away_cover,2.55,1.5714,1.5,-1.5,1.7143,2.2
2022-04-08,264293,SEA,MIN,2,1,away_win,away_cover,2.1,1.7692,1.5,-1.5,1.5208,2.67
2022-04-08,264299,CHW,DET,4,5,home_win,home_cover,1.7407,2.15,-1.5,1.5,2.25,1.6897
2022-04-08,264301,OAK,PHI,5,10,home_win,home_cover,2.75,1.4762,1.5,-1.5,1.8333,2
2022-04-08,264302,BAL,TB,1,2,home_win,away_cover,2.65,1.5405,1.5,-1.5,1.7407,2.15
2022-04-08,264303,LAD,COL,5,3,away_win,away_cover,1.4545,2.8,-1.5,1.5,1.6897,2.25
2022-04-08,264304,MIA,SF,5,6,home_win,away_cover,2.25,1.6897,1.5,-1.5,1.5882,2.5
2022-04-08,264305,NYM,WAS,7,3,away_win,away_cover,1.6061,2.45,-1.5,1.5,2.05,1.8
2022-04-08,264306,TEX,TOR,8,10,home_win,home_cover,2.45,1.6061,1.5,-1.5,1.7407,2.15
2022-04-08,264307,CIN,ATL,6,7,home_win,away_cover,2.67,1.5208,1.5,-1.5,1.8696,1.9524
2022-04-08,264309,HOU,LAA,13,6,away_win,away_cover,2.1,1.7692,-1.5,1.5,2.35,1.6452
2022-04-08,264310,SD,ARI,3,0,away_win,away_cover,1.625,2.4,-1.5,1.5,2.05,1.8
2022-04-09,264311,BAL,TB,3,5,home_win,home_cover,2.75,1.4762,1.5,-1.5,1.9524,1.8696
2022-04-09,264312,CHW,DET,5,2,away_win,away_cover,1.7407,2.15,-1.5,1.5,2.2,1.7143
2022-04-09,264313,SEA,MIN,4,3,away_win,away_cover,2.15,1.7407,1.5,-1.5,1.625,2.4
2022-04-09,264314,PIT,STL,2,6,home_win,home_cover,2.45,1.6061,1.5,-1.5,1.7407,2.15
2022-04-09,264315,MIL,CHC,0,9,home_win,home_cover,1.625,2.4,-1.5,1.5,2.05,1.8
2022-04-09,264316,TEX,TOR,3,4,home_win,away_cover,2.7,1.5,1.5,-1.5,1.9091,1.9091
2022-04-09,264317,OAK,PHI,2,4,home_win,home_cover,2.7,1.5,1.5,-1.5,1.9091,1.9091
2022-04-09,264318,MIA,SF,2,1,away_win,away_cover,2.25,1.6897,1.5,-1.5,1.6452,2.35
2022-04-09,264319,BOS,NYY,2,4,home_win,home_cover,2.35,1.6452,1.5,-1.5,1.7143,2.2
2022-04-09,264320,CLE,KC,0,1,home_win,away_cover,1.9524,1.8696,1.5,-1.5,1.5556,2.6
2022-04-09,264321,NYM,WAS,5,0,away_win,away_cover,1.7143,2.2,-1.5,1.5,2.15,1.7407
2022-04-09,264322,CIN,ATL,1,2,home_win,away_cover,2.5,1.5882,1.5,-1.5,1.7692,2.1
2022-04-09,264323,LAD,COL,2,3,home_win,home_cover,1.5882,2.5,-1.5,1.5,1.8333,2
2022-04-09,264324,SD,ARI,5,2,away_win,away_cover,1.5714,2.55,-1.5,1.5,1.8696,1.9524
2022-04-09,264325,HOU,LAA,0,2,home_win,home_cover,1.9091,1.9091,1.5,-1.5,1.5,2.7
2022-04-10,264326,NYM,WAS,2,4,home_win,home_cover,1.7143,2.2,-1.5,1.5,2.1,1.7692
2022-04-10,264327,OAK,PHI,4,1,away_win,away_cover,2.9,1.4348,1.5,-1.5,2,1.8333
2022-04-10,264328,TEX,TOR,12,6,away_win,away_cover,2.8,1.4545,1.5,-1.5,1.9524,1.8696
2022-04-10,264329,BAL,TB,0,8,home_win,home_cover,2.6,1.5556,1.5,-1.5,1.7692,2.1
2022-04-10,264330,CHW,DET,10,1,away_win,away_cover,1.7407,2.15,-1.5,1.5,2.25,1.6897
2022-04-10,264331,CIN,ATL,6,3,away_win,away_cover,2.5,1.5882,1.5,-1.5,1.7407,2.15
2022-04-10,264332,CLE,KC,17,3,away_win,away_cover,1.9524,1.8696,1.5,-1.5,1.5556,2.6
2022-04-10,264333,SEA,MIN,4,10,home_win,home_cover,2.2,1.7143,1.5,-1.5,1.625,2.4
