epoch,loss,test_acc
1,1.3390734498305699,0.5933
2,0.8973601013040908,0.7244
3,0.6980111347439953,0.7818
4,0.5943269255139944,0.7476
5,0.5212806431800509,0.8104
6,0.46529249704021325,0.833
7,0.4237826155960712,0.8475
8,0.3854379980155574,0.8474
9,0.35794510487514686,0.852
10,0.3248041394593008,0.8762
11,0.30171129953525866,0.8699
12,0.28173071653832255,0.8693
13,0.26231680849514655,0.8624
14,0.24708260169914922,0.8684
15,0.22752036844544551,0.8876
16,0.21416116043772843,0.8811
17,0.19545024222291796,0.8922
18,0.19038120213695955,0.8913
19,0.17141404142960562,0.891
20,0.16570234892751706,0.8895
21,0.15865268596612356,0.9
22,0.14520888751172614,0.8911
23,0.13923083203594627,0.8938
24,0.12850070221568732,0.8847
25,0.12347910083625513,0.9046
26,0.12014484651925048,0.9035
27,0.11129644932225347,0.9046
28,0.10619823032718562,0.9008
29,0.10245719334155874,0.8979
30,0.09541539471868016,0.902
31,0.09593735262275199,0.904
32,0.088387826095571,0.9065
33,0.08635521984404272,0.9071
34,0.07860212654346967,0.909
35,0.07897936704951455,0.8923
36,0.07311696035083612,0.9
37,0.07015138757986772,0.9007
38,0.07032071026321977,0.909
39,0.0661497426615573,0.9127
40,0.06707819284665187,0.9105
41,0.05895510196472611,0.9092
42,0.05918269744544835,0.9097
43,0.059662721421726794,0.9098
44,0.05720446582989591,0.9155
45,0.05208914115807027,0.9074
46,0.05271905264489667,0.9121
47,0.04903253009292723,0.9098
48,0.04912050272112705,0.9095
49,0.049607515383465334,0.9095
50,0.047284975458342045,0.905
51,0.04723648106425648,0.914
52,0.0445373288819196,0.9185
53,0.04609926546911311,0.9127
54,0.04607605531899844,0.9146
55,0.04233359097955091,0.9175
56,0.043045061167783304,0.9142
57,0.043196783359165485,0.9175
58,0.04027541279938677,0.9098
59,0.039625503405359336,0.9088
60,0.035813646646939416,0.915
61,0.040748369444970456,0.9117
62,0.037331666769561074,0.9138
63,0.037292721935117956,0.9138
64,0.03750197312315566,0.9177
65,0.031813833231711997,0.9072
66,0.035104834932841056,0.9126
67,0.03378216142155369,0.9124
68,0.03336913616057364,0.9175
69,0.030876691284806967,0.9127
70,0.03105681459895809,0.9127
71,0.03264686961011018,0.9145
72,0.03007538506120388,0.915
73,0.02960194809895391,0.9129
74,0.030156151717737115,0.911
75,0.03005066329682254,0.9196
76,0.030808398688627083,0.9169
77,0.02600864950495878,0.9155
78,0.03128617496469089,0.9184
79,0.026865429493843976,0.9163
80,0.027524877203684395,0.916
81,0.02984689892215483,0.9212
82,0.025282819854968545,0.9153
83,0.02565117736572072,0.9141
84,0.027149909079018885,0.9123
85,0.025396705948455316,0.9119
86,0.02584240428164832,0.9153
87,0.020297210860956948,0.9179
88,0.025036949222530636,0.9188
89,0.026863331030982058,0.9196
90,0.025279434392196865,0.9156
91,0.02278719852615618,0.9188
92,0.021788218856795945,0.9215
93,0.023987358559363358,0.9145
94,0.02098766705100907,0.913
95,0.021834684241789512,0.918
96,0.02599339201709244,0.9213
97,0.02242452280734607,0.9172
98,0.02139447586624088,0.9124
99,0.019138590240169746,0.9197
100,0.02037055231066962,0.9203
101,0.02265741659575166,0.9214
102,0.021408418485446855,0.9239
103,0.017651592360303402,0.9211
104,0.02013730473709656,0.9244
105,0.020599748038043254,0.9195
106,0.01826323080321347,0.9194
107,0.021981471837127564,0.9195
108,0.01966559293551047,0.918
109,0.0190039753926282,0.9267
110,0.017365779737932095,0.9236
111,0.021010522048578666,0.9168
112,0.02087231350553171,0.9234
113,0.018437251800947668,0.9213
114,0.017375415762412406,0.9227
115,0.017309298266737383,0.9204
116,0.018181015120945304,0.9244
117,0.017488285968321107,0.9186
118,0.019224785515196165,0.9223
119,0.020237930304048853,0.9185
120,0.017205875709333504,0.9207
121,0.019340617706018845,0.924
122,0.015702778886625683,0.9241
123,0.01763485919779559,0.9179
124,0.01834582887843976,0.9236
125,0.01631135270941936,0.9202
126,0.01636828125680282,0.9214
127,0.01604264216775683,0.9128
128,0.02055293127508906,0.921
129,0.015403373936365228,0.9234
130,0.016182123287318526,0.9207
131,0.016089839290992683,0.9206
132,0.017098067291563285,0.9208
133,0.014802840675933428,0.922
134,0.016106904105779443,0.9233
135,0.018164499028561435,0.9261
136,0.015459064141456562,0.9226
137,0.014012904192958607,0.9256
138,0.016573358282187346,0.9249
139,0.011084637471946695,0.923
140,0.01834973930922469,0.9191
141,0.012732264663562956,0.9249
142,0.01721992542329912,0.9168
143,0.01672438893756105,0.9239
144,0.01639313436870514,0.9224
145,0.013379726180369231,0.9193
146,0.018093313152637288,0.9243
147,0.014917685721562273,0.9249
148,0.013487438292540994,0.9223
149,0.014913591932532966,0.9295
150,0.01593687116561955,0.9256
151,0.014739471313831604,0.9263
152,0.01600768935952979,0.9231
153,0.012628305527396895,0.9249
154,0.016052476883992882,0.9279
155,0.014867800556926701,0.9253
156,0.011123581320990686,0.9284
157,0.014693122119044806,0.9201
158,0.014131444040852207,0.9209
159,0.015590289089264665,0.923
160,0.014872952933714855,0.924
161,0.013595325920870469,0.9264
162,0.013226935111335405,0.9314
163,0.013310013943232673,0.9221
164,0.015119896644134717,0.9207
165,0.01171260872819905,0.9223
166,0.01285086925784589,0.9225
167,0.016034549551300757,0.926
168,0.01043124245581771,0.9284
169,0.012205608679765586,0.922
170,0.014171825677152802,0.9253
171,0.01400103303292134,0.9273
172,0.012271327049143053,0.927
173,0.010731872518464927,0.9268
174,0.01218167554081919,0.9262
175,0.01322653966790522,0.9292
176,0.014307573375893943,0.9268
177,0.012201393183027563,0.9263
178,0.011916581224707273,0.9251
179,0.01397890284181387,0.9259
180,0.012465102560937663,0.9239
181,0.011363471533069523,0.9129
182,0.012508144604698665,0.9242
183,0.011531791202561899,0.9248
184,0.012359199290539299,0.9251
185,0.012352132586737615,0.9233
186,0.012240026603335874,0.9244
187,0.011504219172839348,0.9302
188,0.011631604642614621,0.9253
189,0.011711333583062509,0.9296
190,0.010299613140263843,0.9254
191,0.010765503099409986,0.9276
192,0.010275662222936618,0.9282
193,0.014111541657680821,0.9247
194,0.009773478681730587,0.9259
195,0.012224309193955021,0.9278
196,0.013509845551902742,0.9257
197,0.011200763420973675,0.9268
198,0.010820452884029545,0.9307
199,0.010158711778157761,0.9279
200,0.01022885173428631,0.9302
