epoch,loss,test_acc
1,0.5857523479272643,0.8413
2,0.4103906645494349,0.8484
3,0.39031843395184374,0.854
4,0.3789507598065964,0.8574
5,0.3709022192394032,0.8579
6,0.3646365203668394,0.8583
7,0.3595045004278193,0.8593
8,0.355165250961433,0.8606
9,0.3514147255274341,0.8614
10,0.34812006571561177,0.8612
11,0.34518943166793764,0.8615
12,0.3425564810900432,0.8625
13,0.3401715662854407,0.8626
14,0.33799647728500465,0.8621
15,0.3360011467467184,0.8624
16,0.3341614492332844,0.8627
17,0.3324577249300754,0.863
18,0.3308737409846557,0.8632
19,0.32939593817876733,0.8637
20,0.32801286799980856,0.8638
21,0.3267147875655338,0.8639
22,0.3254933365241951,0.8643
23,0.3243412943294896,0.864
24,0.3232523695282314,0.864
25,0.3222210724716601,0.8643
26,0.32124256382665367,0.8645
27,0.32031257256217627,0.8648
28,0.3194273033791491,0.8638
29,0.31858336803553355,0.8638
30,0.31777774281513965,0.8636
31,0.31700769653710564,0.8638
32,0.31627078034231426,0.8637
33,0.31556477563460467,0.8639
34,0.31488766206804747,0.8639
35,0.3142376101916403,0.8638
36,0.3136129454349923,0.8639
37,0.31301213061565636,0.8642
38,0.31243377268466804,0.8642
39,0.31187657733707475,0.8646
40,0.31133935259431217,0.8649
41,0.3108210050312759,0.8649
42,0.3103205225504268,0.8649
43,0.3098369607001619,0.8646
44,0.30936944991578835,0.8649
45,0.30891718381963423,0.8647
46,0.3084793984889984,0.8648
47,0.3080553955891553,0.8651
48,0.3076445161915191,0.8649
49,0.3072461420312867,0.8645
50,0.3068597032819563,0.8645
51,0.3064846518780569,0.8646
52,0.3061204912412502,0.8648
53,0.3057667338634696,0.8648
54,0.30542293854076846,0.8645
55,0.30508867942768597,0.8647
56,0.30476356375857694,0.8646
57,0.3044472049797892,0.8643
58,0.30413926021217386,0.8642
59,0.3038393871482376,0.8642
60,0.303547270462641,0.8644
61,0.3032626000892781,0.8642
62,0.30298510826457187,0.8642
63,0.30271450984660925,0.864
64,0.30245055669866255,0.8637
65,0.3021929953485499,0.8636
66,0.30194160212641175,0.8634
67,0.3016961553822393,0.8634
68,0.30145643811549067,0.8635
69,0.30122226000289476,0.8634
70,0.3009934170776621,0.8632
71,0.30076974039644844,0.8631
72,0.30055105251729336,0.8633
73,0.3003371781705286,0.8633
74,0.3001279674680032,0.8629
75,0.299923273341735,0.8629
76,0.29972293336525596,0.8628
77,0.2995268256234391,0.8628
78,0.29933481471008044,0.8627
79,0.2991467627418011,0.8628
80,0.2989625569880771,0.8627
81,0.2987820787731644,0.8626
82,0.2986052111743966,0.8623
83,0.2984318512175089,0.8622
84,0.29826189817674936,0.8618
85,0.2980952401219122,0.8617
86,0.2979317978596139,0.8616
87,0.29777146536675864,0.8615
88,0.2976141610871191,0.8615
89,0.29745980205438327,0.8613
90,0.2973083009957657,0.8612
91,0.29715957986119457,0.861
92,0.2970135652881754,0.861
93,0.29687018250412955,0.8609
94,0.2967293649683218,0.8609
95,0.2965910338684726,0.8612
96,0.2964551370314625,0.861
97,0.29632159934171937,0.8611
98,0.2961903628714554,0.8613
99,0.29606137190328535,0.8613
100,0.29593457052927186,0.8611
