epoch,loss,test_acc
1,1.3725983777924267,0.6186
2,0.9062308295608481,0.7019
3,0.7153969581627175,0.7675
4,0.6102758409726955,0.7851
5,0.5339065688802763,0.8045
6,0.47844968282658124,0.8241
7,0.43656868344682564,0.8125
8,0.39792380007484074,0.8191
9,0.36591187877880643,0.8122
10,0.3384855909420706,0.8559
11,0.31448955170791165,0.8479
12,0.29136018325453217,0.8621
13,0.2716372539396481,0.8448
14,0.2534940780885994,0.8763
15,0.23737431033645445,0.8502
16,0.21949542108018075,0.8641
17,0.21055195320521475,0.8799
18,0.1948612058139823,0.8782
19,0.18309034490981674,0.8681
20,0.1754490548882948,0.8829
21,0.16447172767442206,0.8854
22,0.15216669191599197,0.8999
23,0.14337726597628936,0.8861
24,0.13372698817830866,0.8971
25,0.12673213993153915,0.8864
26,0.12367603133249161,0.8909
27,0.1211973089257927,0.8904
28,0.11469217934800535,0.8936
29,0.10141225991880193,0.8967
30,0.0987094845384588,0.8959
31,0.10235917416718,0.9032
32,0.08992450193637777,0.8903
33,0.09102708068402375,0.8977
34,0.08214883452943524,0.9004
35,0.08266193928468563,0.8983
36,0.0759223219426468,0.8901
37,0.07188349999392124,0.8999
38,0.0669029704783388,0.8934
39,0.07445623525573164,0.8936
40,0.06433839962372313,0.9063
41,0.061532848809971986,0.9014
42,0.06297026711094486,0.8969
43,0.06316558829725474,0.9068
44,0.059166452223363586,0.91
45,0.057087558419312665,0.8967
46,0.05792796152436634,0.8898
47,0.05136296792251184,0.9061
48,0.05031027748723469,0.9021
49,0.053280296191201566,0.9042
50,0.04794101604520131,0.9057
51,0.049073397714282624,0.9084
52,0.04453392135446219,0.9042
53,0.04740391314015402,0.9025
54,0.04634563360229858,0.9057
55,0.045606840563261565,0.9093
56,0.03916427981742012,0.9104
57,0.03895722462407425,0.9056
58,0.04261884686079762,0.9096
59,0.04165204194352946,0.9105
60,0.03854019662527287,0.9137
61,0.03817375343235786,0.9054
62,0.035236753836569504,0.9128
63,0.036640505456482356,0.9092
64,0.0369484977435816,0.9138
65,0.03414807984750728,0.9127
66,0.034725855642041226,0.9116
67,0.03147443688428148,0.915
68,0.029929714676950252,0.9134
69,0.03182333897527717,0.9135
70,0.034498714447102466,0.9134
71,0.02863906265061963,0.9142
72,0.03556643012741967,0.9074
73,0.028315389370623157,0.9108
74,0.032529616222271455,0.9135
75,0.02886631110887927,0.9127
76,0.02738446364050631,0.9124
77,0.03145821700515726,0.9156
78,0.027824079476730407,0.9057
79,0.031232839195079187,0.9151
80,0.024456239090172475,0.9133
81,0.027396736779700382,0.92
82,0.02311616222692125,0.9134
83,0.031730389956871996,0.9127
84,0.023206868219663345,0.919
85,0.027911899622072422,0.9206
86,0.023437230772299505,0.9157
87,0.025857444262028437,0.905
88,0.02626258638047892,0.9163
89,0.024348981156849952,0.9144
90,0.027018342098063978,0.9106
91,0.02257067184654705,0.9182
92,0.023115010869860782,0.916
93,0.021365372518918898,0.9171
94,0.02271190060250809,0.9131
95,0.0238372875869398,0.9166
96,0.024339545166829738,0.9113
97,0.02091426613039154,0.9141
98,0.01985593549633289,0.9189
99,0.02482349150861754,0.9191
100,0.019198225319857144,0.9211
101,0.021237146371946958,0.9154
102,0.02116521706243696,0.9161
103,0.02439636594067742,0.9178
104,0.017897767128983794,0.9202
105,0.01915725457149765,0.9144
106,0.01958491767356482,0.9092
107,0.018077789383935634,0.9175
108,0.021670837389558908,0.9177
109,0.021619496897802046,0.919
110,0.017302816610231333,0.9213
111,0.020552472116591176,0.9196
112,0.01918819900441324,0.9221
113,0.01889463556859561,0.9187
114,0.018435087269487675,0.9197
115,0.01725013076510552,0.9096
116,0.016267795161263126,0.9141
117,0.020849126511249844,0.9202
118,0.017698516805127473,0.921
119,0.015675748505181802,0.9198
120,0.015515745397867955,0.9156
121,0.019175366743716657,0.9206
122,0.017212591879546185,0.9181
123,0.016881150636396815,0.917
124,0.018539830246809847,0.9156
125,0.018598846400409992,0.919
126,0.015583101618999872,0.922
127,0.019451087727547858,0.9243
128,0.014068925013432822,0.9204
129,0.015677938129112143,0.9165
130,0.014956718038916742,0.9129
131,0.01689068536201785,0.9227
132,0.017234060909230468,0.921
133,0.016779514979032198,0.9183
134,0.01677281737117373,0.9189
135,0.01418640466576354,0.9203
136,0.015986111448959225,0.9185
137,0.015884218381835704,0.9219
138,0.011774796068735655,0.92
139,0.01669215968219162,0.9154
140,0.015136603216874078,0.9204
141,0.013776295402970361,0.9182
142,0.015315555483343965,0.9185
143,0.01857736822047397,0.9225
144,0.012196025442909044,0.924
145,0.013736115455257651,0.9124
146,0.014925022633350871,0.9226
147,0.016074697464279343,0.9214
148,0.01449351760295584,0.9171
149,0.012526283011538908,0.9217
150,0.012403335336975687,0.9207
151,0.012193237905829128,0.9229
152,0.015214625823349023,0.9147
153,0.013898719651246434,0.9154
154,0.01471940538069755,0.9235
155,0.011236582496760251,0.9227
156,0.01378783388727266,0.9216
157,0.01348918003132543,0.923
158,0.012387732514585166,0.9202
159,0.013012622943525547,0.9239
160,0.015922245942852627,0.9197
161,0.01339714767929712,0.9209
162,0.010214222074427364,0.921
163,0.011863637218431063,0.9211
164,0.014450633445035017,0.9221
165,0.012140046708378703,0.9233
166,0.013089251798468784,0.9137
167,0.015225471151621102,0.9238
168,0.00942473614405569,0.9232
169,0.010288501034646779,0.9198
170,0.015515295483092741,0.92
171,0.013300067408705879,0.9174
172,0.012942931094631741,0.9242
173,0.01156087119258521,0.9242
174,0.012567027798986902,0.9193
175,0.011937053180434797,0.9195
176,0.01253203041375885,0.9243
177,0.012045368749012365,0.9287
178,0.007393011422411752,0.923
179,0.014790153667188423,0.918
180,0.013663179029094571,0.9219
181,0.011238073719420668,0.9196
182,0.01041894296911108,0.9236
183,0.009942148241975993,0.9223
184,0.011716938972950418,0.9218
185,0.012496362338722398,0.9284
186,0.009473021175745321,0.9221
187,0.011259488499490544,0.9261
188,0.008489067289948343,0.9221
189,0.011613254863227679,0.922
190,0.011674126646353577,0.9237
191,0.009717950468001318,0.9249
192,0.012540641229498781,0.9233
193,0.009733632754949009,0.9237
194,0.010341597725967745,0.9253
195,0.009209353547549837,0.9244
196,0.014477725103905405,0.9199
197,0.009380501473344358,0.923
198,0.012015139231371368,0.9179
199,0.010956658985499409,0.9219
200,0.008866175398221024,0.9225
