epoch,loss,knn_acc
1,4.536899249981611,
2,4.298191993664473,
3,4.210460077187954,
4,4.160325962457901,
5,4.125860708187788,0.5869
6,4.0944315775846825,
7,4.074971516315753,
8,4.055932843990815,
9,4.041820492499914,
10,4.031051515310239,0.6599
11,4.021649132630764,
12,4.012469501984425,
13,4.004917998191638,
14,3.994824260320419,
15,3.991870454641489,0.6849
16,3.98347887748327,
17,3.9800517461238765,
18,3.973942331167368,
19,3.9676732870248648,
20,3.9658919841815266,0.7114
21,3.9614941474718925,
22,3.958648229867984,
23,3.9550641010969114,
24,3.949374673305414,
25,3.946001985745552,0.7224
26,3.9442202812586076,
27,3.9416430827898856,
28,3.938055287263332,
29,3.93654572168986,
30,3.9327961958371676,0.7323
31,3.9312393304629203,
32,3.930369427876595,
33,3.9267209493196926,
34,3.924386239051819,
35,3.9209176943852353,0.739
36,3.920390064288408,
37,3.917467021330809,
38,3.9179133989872077,
39,3.914768321086199,
40,3.911924398251069,0.7477
41,3.913706680444571,
42,3.907909555312915,
43,3.9075008257841453,
44,3.903844869442475,
45,3.901550374275599,0.7622
46,3.9008581668902664,
47,3.900966599660042,
48,3.8986946723400018,
49,3.898668116789598,
50,3.8953458663744804,0.7656
51,3.894618338193649,
52,3.8908364234826505,
53,3.8913940007870016,
54,3.8908804557262324,
55,3.887516497954344,0.7734
56,3.8869067075924995,
57,3.8862983984824937,
58,3.8858618069917727,
59,3.8868294526369143,
60,3.8843141415180304,0.7801
61,3.8852754507309353,
62,3.8799745205121163,
63,3.8781293557240413,
64,3.879025817528749,
65,3.8769029825161665,0.7825
66,3.8733153483806513,
67,3.8755732817527577,
68,3.875185533058949,
69,3.871202427301651,
70,3.869496496518453,0.7848
71,3.869991466937921,
72,3.868234160618904,
73,3.8692132063401052,
74,3.8670821837889844,
75,3.8660883811803965,0.7885
76,3.8643783587675826,
77,3.865791668647375,
78,3.862385714971102,
79,3.864055192164886,
80,3.863245217005412,0.7918
81,3.8624391989830213,
82,3.858926575611799,
83,3.860645519158779,
84,3.8610936030363425,
85,3.8585688542097043,0.7954
86,3.8592730833933904,
87,3.856085380529746,
88,3.8544418120995547,
89,3.853408815921881,
90,3.8554710510449532,0.8023
91,3.8523742846953564,
92,3.854528859945444,
93,3.8526609524702415,
94,3.851508814249283,
95,3.8503453358625754,0.8091
96,3.850661878096752,
97,3.8507794740872505,
98,3.8458816143182606,
99,3.848696748415629,
100,3.8464017415658023,0.8067
101,3.8463949863727276,
102,3.842417206519689,
103,3.846935775341132,
104,3.8440852189675354,
105,3.8438544603494496,0.8102
106,3.845569764650785,
107,3.8413405950252826,
108,3.8401893395643967,
109,3.839873896501003,
110,3.8411529461542764,0.8122
111,3.840215524037679,
112,3.839144822267386,
113,3.837966682972052,
114,3.8396475749138075,
115,3.836419675289056,0.8186
116,3.8377610848500177,
117,3.8374515790205734,
118,3.835722865202488,
119,3.835101046317663,
120,3.8334941546122234,0.8225
121,3.834048115901458,
122,3.831791998178531,
123,3.833514959995563,
124,3.8314171503751706,
125,3.8322835965034288,0.8223
126,3.831483424015534,
127,3.832501699985602,
128,3.829805423051883,
129,3.8297290936494486,
130,3.8276346707955384,0.8251
131,3.830021988428556,
132,3.828103421895932,
133,3.8283721012946885,
134,3.8287245322496464,
135,3.8256993354895177,0.8275
136,3.827259167035421,
137,3.827725288195488,
138,3.824889807823377,
139,3.8267351914674808,
140,3.8272472503857733,0.8261
141,3.8245007594426474,
142,3.8242174252485617,
143,3.8225507503900773,
144,3.8238936711580327,
145,3.822673943715218,0.8275
146,3.8215483323121684,
147,3.822170390226902,
148,3.8221706317021296,
149,3.821744919434572,
150,3.8204399353418594,0.8294
151,3.820423181240375,
152,3.8197486528983484,
153,3.8202433433288183,
154,3.8173153320948283,
155,3.8186224619547526,0.8335
156,3.8183040569990108,
157,3.819371186158596,
158,3.820172547071408,
159,3.81768134251619,
160,3.81592993919666,0.8349
161,3.8169645028236583,
162,3.8152767022450766,
163,3.815426687705211,
164,3.815373053917518,
165,3.8150361330081255,0.8403
166,3.8139807970095903,
167,3.8136783416454607,
168,3.814492705540779,
169,3.8153033549969013,
170,3.812347270280887,0.8384
171,3.812041971622369,
172,3.8132451375325522,
173,3.8126714730874087,
174,3.8100538498316054,
175,3.8121871202419966,0.8378
176,3.8134444151169213,
177,3.8098966690210196,
178,3.8101246442550267,
179,3.8099414862119234,
180,3.8092777276650454,0.8434
181,3.808773792707003,
182,3.8092867099321808,
183,3.8086301118899613,
184,3.8080946745016635,
185,3.806364371226384,0.8446
186,3.8073412186060196,
187,3.8072243861663035,
188,3.807814663495773,
189,3.806516655286153,
190,3.808122747983688,0.8432
191,3.807328405135717,
192,3.807103495720105,
193,3.8062144701297465,
194,3.805911128337567,
195,3.803708600386595,0.8456
196,3.8043959562595075,
197,3.805851735212864,
198,3.80287358210637,
199,3.801977699230879,
200,3.8044957344348616,0.8497
