epoch,loss,test_acc
1,0.5578185322949344,0.8357
2,0.41146934312551525,0.8435
3,0.3946467878492287,0.8462
4,0.3844903304868037,0.8486
5,0.3770835633244356,0.8502
6,0.3712491626705965,0.8519
7,0.3664472891813349,0.8526
8,0.3623805335815758,0.8536
9,0.35886525144548065,0.8546
10,0.3557792460579244,0.8549
11,0.35303690611287153,0.856
12,0.3505758645913333,0.8567
13,0.34834924658469835,0.8575
14,0.34632091705337203,0.858
15,0.34446238873102475,0.8589
16,0.3427508154221813,0.8588
17,0.341167554430797,0.859
18,0.3396972178879296,0.8592
19,0.33832694853053374,0.8594
20,0.3370458940830072,0.8601
21,0.3358448194458966,0.86
22,0.334715804356672,0.8598
23,0.3336519935189763,0.8596
24,0.33264742723053986,0.8598
25,0.33169689291464094,0.8606
26,0.3307958037671073,0.8608
27,0.32994010767249193,0.8609
28,0.3291262033612222,0.8607
29,0.3283508756695806,0.861
30,0.3276112585726296,0.8611
31,0.32690477077765845,0.861
32,0.32622907891907654,0.861
33,0.3255820876020757,0.8614
34,0.32496189270787834,0.8613
35,0.3243667584227022,0.861
36,0.32379510152675306,0.8607
37,0.3232454850488459,0.8606
38,0.3227165883402233,0.8608
39,0.32220719458387637,0.8609
40,0.32171618846028355,0.8611
41,0.3212425450572882,0.8609
42,0.3207853117295543,0.8609
43,0.3203436129385858,0.8613
44,0.31991662856791636,0.8614
45,0.3195036157031956,0.8615
46,0.3191038603558565,0.8613
47,0.3187167202039143,0.8613
48,0.31834157072293484,0.8614
49,0.31797786020790525,0.8613
50,0.31762504194627333,0.8613
51,0.31728262735335416,0.8611
52,0.31695014352688705,0.8611
53,0.31662716074367925,0.8611
54,0.3163132518625168,0.8609
55,0.3160080464790239,0.8609
56,0.315711167595728,0.8608
57,0.315422278450197,0.8606
58,0.31514104954002764,0.8603
59,0.314867179040485,0.8606
60,0.31460037415899583,0.8605
61,0.31434036335905496,0.8606
62,0.31408687957260006,0.8606
63,0.3138396790265427,0.8603
64,0.31359853735550897,0.8605
65,0.3133632314136571,0.8606
66,0.3131335324624463,0.8604
67,0.31290926308849887,0.8605
68,0.3126902184484865,0.8605
69,0.3124762211957246,0.8606
70,0.3122670982233094,0.8604
71,0.3120626845513768,0.8603
72,0.3118628205164619,0.8603
73,0.3116673570974251,0.8606
74,0.31147615577253845,0.8605
75,0.31128907007405826,0.8603
76,0.31110597970654896,0.8602
77,0.3109267470629319,0.8603
78,0.3107512542391982,0.8602
79,0.31057939826108305,0.8602
80,0.3104110528593478,0.8602
81,0.3102461202141574,0.8601
82,0.31008449796101323,0.8603
83,0.3099260873368482,0.8601
84,0.30977079439003147,0.86
85,0.3096185302947793,0.86
86,0.30946920504388603,0.86
87,0.3093227419687811,0.8601
88,0.30917905730283474,0.8602
89,0.3090380694612365,0.8602
90,0.30889970842567854,0.8603
91,0.30876390927511715,0.8602
92,0.30863059298766543,0.8601
93,0.3084996955283463,0.8601
94,0.308371152728796,0.86
95,0.3082449075663486,0.8599
96,0.308120892719006,0.86
97,0.3079990590434245,0.8599
98,0.30787934474361217,0.8599
99,0.30776169606486853,0.8598
100,0.3076460686848139,0.8595
