epoch,loss,knn_acc
1,5.416173059512407,
2,5.3987727152995575,
3,5.390455302214011,
4,5.385551984493549,
5,5.382172770377917,0.4621
6,5.379166120137924,
7,5.377694087150769,
8,5.37659567074898,
9,5.375220444263556,
10,5.374216563885028,0.5144
11,5.373435754042405,
12,5.372994076899993,
13,5.371879372229943,
14,5.371518627802531,
15,5.371482347830748,0.5527
16,5.370449457413111,
17,5.3705750722151535,
18,5.370185351983094,
19,5.369512880765475,
20,5.369568356489524,0.5713
21,5.369099835860424,
22,5.36906611980536,
23,5.368820466750708,
24,5.368550528012789,
25,5.368138686204568,0.5869
26,5.368075236296042,
27,5.367738416867378,
28,5.367280091994848,
29,5.367111598528348,
30,5.367117819419274,0.6063
31,5.366926421874608,
32,5.367020975015103,
33,5.366997793393257,
34,5.366874958918645,
35,5.366592896290315,0.6146
36,5.366126587452032,
37,5.366254909221943,
38,5.366351004135915,
39,5.3659384397359995,
40,5.365822432591365,0.6269
41,5.365821647644043,
42,5.36546285702632,
43,5.365581867022392,
44,5.365315928825965,
45,5.365369333365025,0.6298
46,5.3649069847204744,
47,5.365220922078842,
48,5.364903473242736,
49,5.3649374986306215,
50,5.365011717722966,0.6394
51,5.364628476362962,
52,5.364366983756041,
53,5.36435962945987,
54,5.364833483329186,
55,5.364066959038759,0.6523
56,5.364344824277437,
57,5.364240736839099,
58,5.364374133868095,
59,5.36411726413629,
60,5.3639671362363375,0.6574
61,5.36398574755742,
62,5.363800231004372,
63,5.3638238919086945,
64,5.363664556160951,
65,5.3637674405024605,0.6648
66,5.363459952672323,
67,5.36360949858641,
68,5.363644925141946,
69,5.363525278140337,
70,5.363200320952978,0.6632
71,5.3633476709708185,
72,5.363136203472431,
73,5.3632374470050515,
74,5.362935387782562,
75,5.363243084687453,0.6733
76,5.362899330334786,
77,5.363044414764795,
78,5.362627601623535,
79,5.36308207389636,
80,5.362884895618145,0.6763
81,5.362655313198383,
82,5.362587416477693,
83,5.362389645209679,
84,5.36270882166349,
85,5.362598222341293,0.6853
86,5.36264812273857,
87,5.362262409161299,
88,5.362109964321821,
89,5.3621686348548305,
90,5.362536135697976,0.6877
91,5.362380563295805,
92,5.362334431134737,
93,5.362211061135317,
94,5.362172716091841,
95,5.3620890067173885,0.693
96,5.362152893115312,
97,5.362215577639066,
98,5.361758373945188,
99,5.362174541522295,
100,5.362004331442026,0.6999
101,5.36171585107461,
102,5.361377193988898,
103,5.361882467758961,
104,5.361748307790512,
105,5.361532043799376,0.7032
106,5.361604812817696,
107,5.361243432607406,
108,5.361152409284543,
109,5.361154739673321,
110,5.361178712355785,0.7091
111,5.361098740651057,
112,5.36105397053254,
113,5.36089888719412,
114,5.361054036556146,
115,5.36087695879814,0.714
116,5.361178720914401,
117,5.360815053108411,
118,5.360612331292568,
119,5.360909422849997,
120,5.360664614652976,0.7203
121,5.36044277044443,
122,5.36053176904336,
123,5.360644598496266,
124,5.360621942617954,
125,5.360616610600398,0.7301
126,5.360429148796277,
127,5.3605273821415045,
128,5.360508049451388,
129,5.360352783936721,
130,5.360516148347121,0.7278
131,5.360499873528114,
132,5.360247129049057,
133,5.360317984605447,
134,5.3602541850163385,
135,5.3600291374402165,0.7342
136,5.360237768368843,
137,5.360411787033081,
138,5.360156869888305,
139,5.360279381580842,
140,5.360254408763005,0.7443
141,5.360095140261528,
142,5.360018815749731,
143,5.35983630204812,
144,5.360114219861153,
145,5.359991489312588,0.7393
146,5.359933470457028,
147,5.359742692800668,
148,5.359954723945031,
149,5.359947374539497,
150,5.359907437593509,0.7464
151,5.3597612870045195,
152,5.359894312345064,
153,5.3599137893089885,
154,5.359590016878569,
155,5.35954781067677,0.7496
156,5.359717188126002,
157,5.359793652020968,
158,5.359769547291291,
159,5.359650349005674,
160,5.359477702165261,0.7535
161,5.359486916126349,
162,5.359516848050631,
163,5.359354340724456,
164,5.35947796136905,
165,5.359557025860518,0.7473
166,5.3594648312299675,
167,5.35922350638952,
168,5.359464124532846,
169,5.359493981874906,
170,5.359438981765356,0.7573
171,5.359101757636437,
172,5.359327183014307,
173,5.35940600052858,
174,5.359137326020461,
175,5.359279249875973,0.7597
176,5.359246416580983,
177,5.359031376471886,
178,5.359095882758116,
179,5.359385893895076,
180,5.359045166847033,0.7659
181,5.359085084230472,
182,5.3589573126572825,
183,5.359271054390149,
184,5.359060813219119,
185,5.3589823686159574,0.7634
186,5.3589416601719,
187,5.359088817009559,
188,5.358890971159323,
189,5.359117985994388,
190,5.3589199261787615,0.7628
191,5.359085822716738,
192,5.359043552936652,
193,5.358819603308653,
194,5.358915501374465,
195,5.358994702803783,0.7619
196,5.3588240403395435,
197,5.358858252794315,
198,5.358642657597859,
199,5.3586963152274105,
200,5.358955805118267,0.7669
