epoch,loss,test_acc
1,1.0172197910221032,0.7321
2,0.7259229978027246,0.7528
3,0.6761479029417647,0.7605
4,0.6499258608311949,0.7682
5,0.632899935135756,0.7722
6,0.6205717190299802,0.774
7,0.6110273821427085,0.7765
8,0.6033066511154175,0.7793
9,0.5968665210029963,0.7817
10,0.5913708700091028,0.7836
11,0.5865971744822724,0.7844
12,0.5823906854442928,0.7857
13,0.5786396336677434,0.7859
14,0.5752609538300263,0.7873
15,0.572191507919975,0.7884
16,0.5693822750807418,0.7891
17,0.5667946566553677,0.7907
18,0.5643977202722789,0.7906
19,0.5621664374685653,0.792
20,0.5600802666695831,0.7923
21,0.5581221912065735,0.7925
22,0.5562779755543565,0.7931
23,0.5545355996969715,0.7938
24,0.5528848388463335,0.7937
25,0.5513169308147772,0.7934
26,0.5498242933884301,0.7941
27,0.5484003662453283,0.7945
28,0.5470393886956413,0.7945
29,0.5457363104271462,0.7943
30,0.544486661091485,0.7945
31,0.5432864829250004,0.7951
32,0.542132236616081,0.7956
33,0.5410207577830995,0.796
34,0.5399491941684957,0.7963
35,0.5389149814767911,0.7964
36,0.537915787199879,0.7963
37,0.5369494920191558,0.7963
38,0.5360141811163529,0.7967
39,0.5351080819011649,0.7968
40,0.5342295878683515,0.7971
41,0.5333772117981825,0.797
42,0.5325495882717239,0.798
43,0.5317454473746707,0.7985
44,0.5309636255969172,0.7983
45,0.5302030463962604,0.7984
46,0.5294626967986221,0.7987
47,0.528741648739866,0.7993
48,0.5280390295683576,0.799
49,0.527354009163654,0.799
50,0.5266858385804364,0.7991
51,0.5260338013434349,0.7992
52,0.5253972276244931,0.7991
53,0.5247754921846073,0.7996
54,0.5241679892210704,0.7998
55,0.5235741726120414,0.8001
56,0.5229935111749507,0.8001
57,0.5224255225085237,0.8002
58,0.5218697118637202,0.8003
59,0.5213256608647154,0.8003
60,0.5207929238486473,0.801
61,0.5202711219982723,0.801
62,0.5197598700938018,0.8013
63,0.5192588046383675,0.8018
64,0.5187675890410343,0.802
65,0.5182858961622429,0.8023
66,0.517813420356692,0.8022
67,0.5173498552930934,0.8023
68,0.5168949297017149,0.8023
69,0.5164483662913827,0.8023
70,0.5160099213842846,0.8024
71,0.5155793424609982,0.8026
72,0.5151563886638797,0.8027
73,0.5147408420777382,0.8025
74,0.5143324898179534,0.8025
75,0.513931117856594,0.8026
76,0.5135365366325964,0.8028
77,0.5131485550604817,0.8029
78,0.5127669820547713,0.803
79,0.5123916556463217,0.8032
80,0.512022398850497,0.803
81,0.5116590599879585,0.8031
82,0.5113014658851087,0.8033
83,0.5109494843751269,0.8033
84,0.510602956995025,0.8035
85,0.5102617599622673,0.8036
86,0.5099257540215006,0.8037
87,0.5095948038046317,0.8037
88,0.509268791093241,0.8039
89,0.508947592562117,0.804
90,0.5086310968527099,0.8039
91,0.5083191916155998,0.8038
92,0.5080117584037049,0.8039
93,0.5077087065143049,0.8038
94,0.5074099300005247,0.8036
95,0.507115328098502,0.8037
96,0.506824812620802,0.8036
97,0.5065382788400821,0.804
98,0.5062556590722955,0.804
99,0.5059768495047489,0.804
100,0.5057017707153965,0.8043
