date,game_id,away_team,home_team,away_score,home_score,result,spread_result,moneyline_away_decimal,moneyline_home_decimal,away_spread,home_spread,spread_away_decimal,spread_home_decimal
2024-03-20,299048,LAD,SD,5,2,away_win,away_cover,1.4762,2.75,-1.5,1.5,1.8,2.05
2024-03-21,299061,SD,LAD,15,11,away_win,away_cover,2.75,1.4762,1.5,-1.5,1.9524,1.8696
2024-03-28,299143,LAA,BAL,3,11,home_win,home_cover,2.65,1.5,1.5,-1.5,1.7692,2.1
2024-03-28,299144,TOR,TB,8,2,away_win,away_cover,2.15,1.7407,1.5,-1.5,1.5263,2.6
2024-03-28,299146,MIN,KC,4,1,away_win,away_cover,1.8,2.05,-1.5,1.5,2.35,1.625
2024-03-28,299147,DET,CHW,1,0,away_win,home_cover,1.5556,2.5,-1.5,1.5,1.9091,1.9091
2024-03-28,299148,NYY,HOU,5,4,away_win,away_cover,2.3,1.6452,1.5,-1.5,1.6452,2.3
2024-03-28,299149,COL,AZ,1,16,home_win,home_cover,2.9,1.4348,1.5,-1.5,1.9091,1.9091
2024-03-28,299150,CLE,ATH,8,0,away_win,away_cover,1.625,2.35,-1.5,1.5,2.1,1.7692
2024-03-28,299151,BOS,SEA,6,4,away_win,away_cover,2.5,1.5556,1.5,-1.5,1.6667,2.25
2024-03-28,299152,STL,LAD,1,7,home_win,home_cover,2.95,1.4167,1.5,-1.5,2,1.8333
2024-03-28,299154,CHC,TEX,3,4,home_win,away_cover,2,1.8333,1.5,-1.5,1.4762,2.75
2024-03-28,299155,PIT,MIA,6,5,away_win,away_cover,2.1,1.7692,1.5,-1.5,1.5,2.65
2024-03-28,299156,WAS,CIN,2,8,home_win,home_cover,2.3,1.6452,1.5,-1.5,1.6452,2.3
2024-03-28,299157,SF,SD,4,6,home_win,home_cover,1.9524,1.8696,1.5,-1.5,1.4444,2.85
2024-03-29,299145,MIL,NYM,3,1,away_win,away_cover,1.9091,1.9091,1.5,-1.5,1.4545,2.8
2024-03-29,299153,ATL,PHI,9,3,away_win,away_cover,1.8,2.05,-1.5,1.5,2.35,1.625
2024-03-30,299166,LAA,BAL,4,13,home_win,home_cover,2.5,1.5556,1.5,-1.5,1.7407,2.15
2024-03-30,299167,TOR,TB,1,5,home_win,home_cover,2.1,1.7692,1.5,-1.5,1.5263,2.6
2024-03-30,299168,MIL,NYM,7,6,away_win,away_cover,2.05,1.8,1.5,-1.5,1.4878,2.7
2024-03-30,299169,MIN,KC,5,1,away_win,away_cover,1.8333,2,-1.5,1.5,2.4,1.6061
2024-03-30,299170,DET,CHW,7,6,away_win,home_cover,1.7692,2.1,-1.5,1.5,2.2,1.7143
2024-03-30,299171,NYY,HOU,5,3,away_win,away_cover,2.1,1.7692,1.5,-1.5,1.5882,2.45
2024-03-30,299172,COL,AZ,9,4,away_win,away_cover,2.55,1.5405,1.5,-1.5,1.8333,2
2024-03-30,299173,CLE,ATH,12,3,away_win,away_cover,1.8,2.05,-1.5,1.5,2.35,1.625
2024-03-30,299174,BOS,SEA,3,4,home_win,,2.3,1.6452,,,,
2024-03-30,299175,STL,LAD,6,5,away_win,away_cover,,,1.5,-1.5,2,1.8333
2024-03-30,299176,ATL,PHI,12,4,away_win,away_cover,1.7407,2.15,-1.5,1.5,2.25,1.6667
2024-03-30,299177,PIT,MIA,9,3,away_win,away_cover,1.9091,1.9091,1.5,-1.5,1.4762,2.75
