date,game_id,away_team,home_team,away_score,home_score,result,spread_result,moneyline_away_decimal,moneyline_home_decimal,away_spread,home_spread,spread_away_decimal,spread_home_decimal
2025-03-18,341153,WAS,HOU,4,3,away_win,away_cover,2.4,1.6061,1.5,-1.5,1.625,2.35
2025-03-18,341154,TOR,BAL,2,8,home_win,home_cover,2.2,1.7143,1.5,-1.5,1.6452,2.3
2025-03-18,341155,DET,MIN,6,5,away_win,away_cover,2.35,1.625,1.5,-1.5,1.625,2.35
2025-03-18,341156,PHI,PIT,2,3,home_win,home_cover,1.7407,2.15,-1.5,1.5,2.35,1.625
2025-03-18,341157,MIA,STL,4,4,,away_cover,2.4,1.6061,1.5,-1.5,1.6667,2.25
2025-03-18,341158,BOS,NYY,4,4,,away_cover,2.55,1.5405,1.5,-1.5,1.7143,2.2
2025-03-18,341159,LAA,CIN,0,1,home_win,away_cover,2.75,1.4762,1.5,-1.5,1.9524,1.8696
2025-03-18,341162,CLE,TEX,3,7,home_win,home_cover,2.6,1.5263,1.5,-1.5,1.8696,1.9524
2025-03-18,341163,MIL,SEA,3,9,home_win,home_cover,2.55,1.5405,1.5,-1.5,1.8696,1.9524
2025-03-18,341164,LAD,CHC,4,1,away_win,away_cover,1.6667,2.25,-1.5,1.5,2.05,1.8
2025-03-19,341165,LAD,CHC,6,3,away_win,away_cover,1.6667,2.25,-1.5,1.5,2.1,1.7692
2025-03-19,341166,COL,AZ,0,1,home_win,away_cover,2.45,1.5882,1.5,-1.5,1.7692,2.1
2025-03-19,341167,WAS,STL,1,7,home_win,home_cover,2.25,1.6667,1.5,-1.5,1.6061,2.4
2025-03-19,341168,PIT,TB,2,5,home_win,home_cover,2.25,1.6667,1.5,-1.5,1.625,2.35
2025-03-19,341172,DET,BOS,4,6,home_win,home_cover,2.5,1.5556,1.5,-1.5,1.7407,2.15
2025-03-19,341173,NYM,HOU,8,2,away_win,away_cover,1.9524,1.8696,1.5,-1.5,1.4545,2.8
2025-03-19,341174,TEX,SEA,2,3,home_win,home_cover,1.7143,2.2,-1.5,1.5,2.15,1.7407
2025-03-19,341175,CHW,MIL,4,5,home_win,away_cover,2.5,1.5556,1.5,-1.5,1.8333,2
2025-03-19,341176,SF,KC,3,1,away_win,away_cover,2.4,1.6061,1.5,-1.5,1.7143,2.2
2025-03-20,341178,TB,TOR,1,4,home_win,home_cover,2.75,1.4762,1.5,-1.5,1.8333,2
2025-03-20,341179,NYM,WAS,10,3,away_win,away_cover,1.9524,1.8696,1.5,-1.5,1.5882,2.45
2025-03-20,341180,HOU,MIA,11,0,away_win,away_cover,2.1,1.7692,1.5,-1.5,1.625,2.35
2025-03-20,341181,PHI,ATL,0,7,home_win,home_cover,2.75,1.4762,1.5,-1.5,2.05,1.8
2025-03-20,341182,BOS,MIN,1,2,home_win,away_cover,2.1,1.7692,1.5,-1.5,1.5882,2.45
2025-03-20,341184,NYY,BAL,9,7,away_win,away_cover,2.25,1.6667,1.5,-1.5,1.7143,2.2
2025-03-20,341185,KC,CIN,11,8,away_win,away_cover,2.35,1.625,1.5,-1.5,1.7143,2.2
2025-03-20,341186,ATH,AZ,3,11,home_win,home_cover,2.2,1.7143,1.5,-1.5,1.6061,2.4
2025-03-20,341187,LAA,CHW,1,2,home_win,away_cover,2,1.8333,1.5,-1.5,1.5882,2.45
2025-03-21,341191,PIT,BOS,1,2,home_win,away_cover,2.6,1.5263,1.5,-1.5,1.7143,2.2
2025-03-21,341194,MIA,WAS,6,0,away_win,away_cover,2.4,1.6061,1.5,-1.5,1.6452,2.3
2025-03-21,341195,ATL,TB,7,3,away_win,away_cover,1.6667,2.25,-1.5,1.5,2.2,1.7143
2025-03-21,341199,AZ,MIL,16,9,away_win,away_cover,1.8333,2,-1.5,1.5,2.4,1.6061
2025-03-21,341202,CLE,SF,4,5,home_win,away_cover,2.9,1.4348,1.5,-1.5,2,1.8333
2025-03-21,341204,SD,CHC,5,1,away_win,away_cover,1.8696,1.9524,-1.5,1.5,2.3,1.6452
2025-03-22,341207,KC,TEX,9,5,away_win,away_cover,1.8333,2,-1.5,1.5,2.35,1.625
2025-03-22,341208,AZ,SF,7,7,,away_cover,2.45,1.5882,1.5,-1.5,1.7407,2.15
2025-03-22,341213,MIL,ATH,3,4,home_win,away_cover,2.05,1.8,1.5,-1.5,1.6061,2.4
2025-03-22,341215,PHI,NYY,8,7,away_win,home_cover,1.8696,1.9524,-1.5,1.5,2.35,1.625
2025-03-22,341218,ATL,DET,0,0,,away_cover,2.45,1.5882,1.5,-1.5,1.625,2.35
2025-03-22,341219,BOS,TB,2,14,home_win,home_cover,2.45,1.5882,1.5,-1.5,1.625,2.35
2025-03-22,341220,TOR,MIN,2,1,away_win,away_cover,2.65,1.5,1.5,-1.5,1.8696,1.9524
2025-03-22,341221,BAL,PIT,4,0,away_win,away_cover,2.3,1.6452,1.5,-1.5,1.5882,2.45
2025-03-22,341222,WAS,NYM,5,5,,away_cover,2.45,1.5882,1.5,-1.5,1.6667,2.25
2025-03-23,341225,ATH,CHC,8,1,away_win,away_cover,1.8333,2,-1.5,1.5,2.25,1.6667
2025-03-23,341228,CLE,CIN,2,13,home_win,home_cover,2.55,1.5405,1.5,-1.5,1.8333,2
2025-03-23,341229,LAA,LAD,1,7,home_win,home_cover,2.55,1.5405,1.5,-1.5,1.8,2.05
2025-03-23,341230,MIA,NYM,2,10,home_win,home_cover,2.5,1.5556,1.5,-1.5,1.8,2.05
2025-03-23,341231,TB,NYY,3,3,,away_cover,2.45,1.5882,1.5,-1.5,1.7143,2.2
2025-03-23,341232,BAL,ATL,5,5,,away_cover,2.45,1.5882,1.5,-1.5,1.6667,2.25
2025-03-23,341233,DET,PHI,2,4,home_win,home_cover,2.7,1.4878,1.5,-1.5,1.8,2.05
2025-03-23,341234,PIT,TOR,1,2,home_win,away_cover,2.4,1.6061,1.5,-1.5,1.6667,2.25
2025-03-23,341235,MIN,BOS,9,3,away_win,away_cover,2.55,1.5405,1.5,-1.5,1.7143,2.2
2025-03-24,341238,TB,PHI,6,8,home_win,home_cover,2.3,1.6452,1.5,-1.5,1.6667,2.25
2025-03-24,341239,PIT,MIN,1,5,home_win,home_cover,2.55,1.5405,1.5,-1.5,1.7692,2.1
2025-03-24,341240,NYY,NYM,6,6,,away_cover,2.85,1.4444,1.5,-1.5,2,1.8333
2025-03-24,341242,CLE,AZ,4,3,away_win,away_cover,2.25,1.6667,1.5,-1.5,1.6061,2.4
2025-03-24,341243,LAD,LAA,4,5,home_win,home_cover,1.5405,2.55,-1.5,1.5,1.8696,1.9524
2025-03-24,341245,SEA,SD,7,7,,home_cover,1.8333,2,-1.5,1.5,2.3,1.6452
2025-03-24,341246,MIL,COL,4,2,away_win,away_cover,1.8,2.05,-1.5,1.5,2.35,1.625
2025-03-24,353093,ATH,CHW,5,8,home_win,home_cover,1.7143,2.2,-1.5,1.5,2.1,1.7692
2025-03-25,341247,COL,MIN,3,5,home_win,home_cover,2.4,1.6061,1.5,-1.5,1.6452,2.3
2025-03-25,341248,KC,TEX,3,1,away_win,away_cover,2.2,1.7143,1.5,-1.5,1.5882,2.45
2025-03-25,341249,CLE,AZ,3,2,away_win,away_cover,2.5,1.5556,1.5,-1.5,1.7407,2.15
